,model,accuracy score,F1 score,time,features
0,Logistic Regression,1.0,1.0,0.12279725074768066,20
1,Decision Tree,1.0,1.0,0.007523298263549805,20
2,Random Forest,1.0,1.0,0.07553386688232422,20
3,K-Nearest Neighbors,1.0,1.0,0.24352455139160156,20
4,Linear SVM,1.0,1.0,0.18472957611083984,20
0,Logistic Regression,1.0,1.0,0.0651543140411377,21
1,Decision Tree,1.0,1.0,0.006417989730834961,21
2,Random Forest,1.0,1.0,0.07484030723571777,21
3,K-Nearest Neighbors,1.0,1.0,0.2587876319885254,21
4,Linear SVM,1.0,1.0,0.1895124912261963,21
0,Logistic Regression,1.0,1.0,0.12891387939453125,22
1,Decision Tree,1.0,1.0,0.026305437088012695,22
2,Random Forest,1.0,1.0,0.12494683265686035,22
3,K-Nearest Neighbors,1.0,1.0,0.26241588592529297,22
4,Linear SVM,1.0,1.0,0.20065665245056152,22
0,Logistic Regression,1.0,1.0,0.054965972900390625,23
1,Decision Tree,1.0,1.0,0.007006406784057617,23
2,Random Forest,1.0,1.0,0.07787728309631348,23
3,K-Nearest Neighbors,1.0,1.0,0.2835569381713867,23
4,Linear SVM,1.0,1.0,0.25295567512512207,23
0,Logistic Regression,1.0,1.0,0.03819131851196289,24
1,Decision Tree,1.0,1.0,0.006931304931640625,24
2,Random Forest,1.0,1.0,0.07555198669433594,24
3,K-Nearest Neighbors,1.0,1.0,0.30320191383361816,24
4,Linear SVM,1.0,1.0,0.25694775581359863,24
0,Logistic Regression,1.0,1.0,0.03535294532775879,25
1,Decision Tree,1.0,1.0,0.0067713260650634766,25
2,Random Forest,1.0,1.0,0.07931995391845703,25
3,K-Nearest Neighbors,1.0,1.0,0.2878143787384033,25
4,Linear SVM,1.0,1.0,0.2568681240081787,25
0,Logistic Regression,1.0,1.0,0.039853572845458984,26
1,Decision Tree,1.0,1.0,0.006951570510864258,26
2,Random Forest,1.0,1.0,0.07900261878967285,26
3,K-Nearest Neighbors,1.0,1.0,0.2835509777069092,26
4,Linear SVM,1.0,1.0,0.2698638439178467,26
0,Logistic Regression,1.0,1.0,0.04654669761657715,27
1,Decision Tree,1.0,1.0,0.006941080093383789,27
2,Random Forest,1.0,1.0,0.07696247100830078,27
3,K-Nearest Neighbors,1.0,1.0,0.29524946212768555,27
4,Linear SVM,1.0,1.0,0.27632856369018555,27
0,Logistic Regression,1.0,1.0,0.034659624099731445,28
1,Decision Tree,1.0,1.0,0.0072460174560546875,28
2,Random Forest,1.0,1.0,0.0798485279083252,28
3,K-Nearest Neighbors,1.0,1.0,0.29815220832824707,28
4,Linear SVM,1.0,1.0,0.29113149642944336,28
0,Logistic Regression,1.0,1.0,0.03567910194396973,29
1,Decision Tree,1.0,1.0,0.007143974304199219,29
2,Random Forest,1.0,1.0,0.07919692993164062,29
3,K-Nearest Neighbors,1.0,1.0,0.31069374084472656,29
4,Linear SVM,1.0,1.0,0.30879783630371094,29
0,Logistic Regression,1.0,1.0,0.03708171844482422,30
1,Decision Tree,1.0,1.0,0.007492542266845703,30
2,Random Forest,1.0,1.0,0.0800011157989502,30
3,K-Nearest Neighbors,1.0,1.0,0.33168458938598633,30
4,Linear SVM,1.0,1.0,0.3305854797363281,30
0,Logistic Regression,1.0,1.0,0.1620941162109375,31
1,Decision Tree,1.0,1.0,0.0073850154876708984,31
2,Random Forest,1.0,1.0,0.0860600471496582,31
3,K-Nearest Neighbors,1.0,1.0,0.3400909900665283,31
4,Linear SVM,1.0,1.0,0.4487743377685547,31
0,Logistic Regression,1.0,1.0,0.03378462791442871,32
1,Decision Tree,1.0,1.0,0.0075054168701171875,32
2,Random Forest,1.0,1.0,0.07874631881713867,32
3,K-Nearest Neighbors,1.0,1.0,0.3323028087615967,32
4,Linear SVM,1.0,1.0,0.41094255447387695,32
0,Logistic Regression,1.0,1.0,0.03220367431640625,33
1,Decision Tree,1.0,1.0,0.007475376129150391,33
2,Random Forest,1.0,1.0,0.09225940704345703,33
3,K-Nearest Neighbors,1.0,1.0,0.33354687690734863,33
4,Linear SVM,1.0,1.0,0.4892430305480957,33
0,Logistic Regression,1.0,1.0,0.03192329406738281,34
1,Decision Tree,1.0,1.0,0.008142948150634766,34
2,Random Forest,1.0,1.0,0.07944536209106445,34
3,K-Nearest Neighbors,1.0,1.0,0.3397481441497803,34
4,Linear SVM,1.0,1.0,0.45089077949523926,34
0,Logistic Regression,1.0,1.0,0.03697085380554199,35
1,Decision Tree,1.0,1.0,0.008249759674072266,35
2,Random Forest,1.0,1.0,0.07953286170959473,35
3,K-Nearest Neighbors,1.0,1.0,0.35471367835998535,35
4,Linear SVM,1.0,1.0,0.49159884452819824,35
0,Logistic Regression,1.0,1.0,0.03615927696228027,36
1,Decision Tree,1.0,1.0,0.007750034332275391,36
2,Random Forest,1.0,1.0,0.08068561553955078,36
3,K-Nearest Neighbors,1.0,1.0,0.346724271774292,36
4,Linear SVM,1.0,1.0,0.5448484420776367,36
0,Logistic Regression,1.0,1.0,0.035584211349487305,37
1,Decision Tree,1.0,1.0,0.007845878601074219,37
2,Random Forest,1.0,1.0,0.08087015151977539,37
3,K-Nearest Neighbors,1.0,1.0,0.3775520324707031,37
4,Linear SVM,1.0,1.0,0.6071877479553223,37
0,Logistic Regression,1.0,1.0,0.04028940200805664,38
1,Decision Tree,1.0,1.0,0.008064031600952148,38
2,Random Forest,1.0,1.0,0.08501338958740234,38
3,K-Nearest Neighbors,1.0,1.0,0.35822534561157227,38
4,Linear SVM,1.0,1.0,0.6311488151550293,38
0,Logistic Regression,1.0,1.0,0.04171013832092285,39
1,Decision Tree,1.0,1.0,0.007905721664428711,39
2,Random Forest,1.0,1.0,0.0897984504699707,39
3,K-Nearest Neighbors,1.0,1.0,0.3972353935241699,39
4,Linear SVM,1.0,1.0,0.733161449432373,39
0,Logistic Regression,1.0,1.0,0.20200395584106445,40
1,Decision Tree,1.0,1.0,0.011408090591430664,40
2,Random Forest,1.0,1.0,0.08384084701538086,40
3,K-Nearest Neighbors,1.0,1.0,0.37965989112854004,40
4,Linear SVM,1.0,1.0,0.706012487411499,40
0,Logistic Regression,1.0,1.0,0.10108613967895508,41
1,Decision Tree,1.0,1.0,0.008829116821289062,41
2,Random Forest,1.0,1.0,0.08953404426574707,41
3,K-Nearest Neighbors,1.0,1.0,0.43866515159606934,41
4,Linear SVM,1.0,1.0,0.795971155166626,41
0,Logistic Regression,1.0,1.0,0.03907608985900879,42
1,Decision Tree,1.0,1.0,0.008153200149536133,42
2,Random Forest,1.0,1.0,0.08301067352294922,42
3,K-Nearest Neighbors,1.0,1.0,0.4000535011291504,42
4,Linear SVM,1.0,1.0,0.8240456581115723,42
0,Logistic Regression,1.0,1.0,0.073486328125,43
1,Decision Tree,1.0,1.0,0.008049964904785156,43
2,Random Forest,1.0,1.0,0.08318853378295898,43
3,K-Nearest Neighbors,1.0,1.0,0.45631861686706543,43
4,Linear SVM,1.0,1.0,0.8195517063140869,43
0,Logistic Regression,1.0,1.0,0.039240121841430664,44
